qid,lamp_num,generator_name,ranker,rerank_method,pl_alpha,pl_randmmr_lambda_low,pl_randmmr_lambda_high,expected_utility,max_utility,min_utility,avg_ild_jaccard,ee_disparity,ee_relevance,ee_difference,n_lists
31193,4,flanT5Small,bm25,pl,8,,,0.05869564938284514,0.09999999545000023,0.0,0.9255376647030367,0.876,0.24,0.846333,10
31194,4,flanT5Small,bm25,pl,8,,,0.33766233468713114,0.33766233468713114,0.33766233468713114,0.8428554377952875,1.0,0.6,0.4,10
31195,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9386181923503114,1.0,0.0,1.0,10
31196,4,flanT5Small,bm25,pl,8,,,0.025543651720917805,0.025641022695595345,0.025316452780003544,0.9021474188160103,0.892,0.62,0.876101,10
31197,4,flanT5Small,bm25,pl,8,,,0.05263157577908606,0.05263157577908606,0.05263157577908606,0.9451577278061685,0.964,0.42,0.914976,10
31199,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.8478503245811482,1.0,0.0,0.999206,10
31200,4,flanT5Small,bm25,pl,8,,,0.032727270263801844,0.03636363362644649,0.0,0.946401440123122,1.0,0.4,0.984733,10
31202,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9209123417146248,1.0,0.2,0.974359,10
31203,4,flanT5Small,bm25,pl,8,,,0.12679608961943137,0.18181817936920225,0.0,0.9405845068388681,0.292,0.26,0.317405,10
31204,4,flanT5Small,bm25,pl,8,,,0.2060388600533205,0.29999999745000006,0.026666664554666836,0.9404330875477334,0.292,0.2,0.356167,10
31205,4,flanT5Small,bm25,pl,8,,,0.1960784277739331,0.1960784277739331,0.1960784277739331,0.44595719095719105,1.0,0.6,0.904762,10
31206,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9374552901926988,1.0,0.0,1.0,10
31207,4,flanT5Small,bm25,pl,8,,,0.007407406851851895,0.03703703425925947,0.0,0.5136730261203946,0.768,0.1,0.770712,10
31208,4,flanT5Small,bm25,pl,8,,,0.10829959293457958,0.11538461305473378,0.10526315574022779,0.6778830525781128,0.904,1.0,0.838795,10
31209,4,flanT5Small,bm25,pl,8,,,0.027864784514793857,0.028985505196387464,0.02739725832238708,0.9329474132466713,0.964,0.2,0.91961,10
31210,4,flanT5Small,bm25,pl,8,,,0.24754815789325918,0.26086956294896035,0.23376623170180472,0.9540759067087118,0.288,0.2,0.399429,10
31211,4,flanT5Small,bm25,pl,8,,,0.052631576288088774,0.05263157628808878,0.05263157628808878,0.9295252525129329,0.936,0.8,0.915299,10
31212,4,flanT5Small,bm25,pl,8,,,0.21147825766313252,0.23999999656800006,0.1449275335517749,0.9013917859495614,1.0,0.8,0.973941,10
31213,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9565049283460088,0.892,0.12,0.884826,10
31214,4,flanT5Small,bm25,pl,8,,,0.028169011870660766,0.02816901187066076,0.02816901187066076,0.8943635107139402,1.0,0.0,1.0,10
31218,4,flanT5Small,bm25,pl,8,,,0.042151159464998235,0.04651162433748,0.041666663368055815,0.9513301659702037,0.964,0.4,0.952282,10
31219,4,flanT5Small,bm25,pl,8,,,0.31295680802476794,0.5581395308599243,0.2857142832653061,0.9455454667708565,0.892,0.496409,0.635829,10
31220,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.6132869962331109,0.916,0.0,0.940706,10
31221,4,flanT5Small,bm25,pl,8,,,0.03339723657515077,0.0338983016489518,0.03278688189196487,0.4599386069122911,0.868,0.36,0.859671,10
31223,4,flanT5Small,bm25,pl,8,,,0.07142856849489808,0.07142856849489808,0.07142856849489808,0.46303288540130644,1.0,0.0,1.0,10
31224,4,flanT5Small,bm25,pl,8,,,0.1874999957031251,0.1874999957031251,0.1874999957031251,0.9277311453927533,1.0,0.0,1.0,10
31225,4,flanT5Small,bm25,pl,8,,,0.10644945467204128,0.11999999788800003,0.07142856806122466,0.5599629270498303,1.0,1.0,0.925373,10
31226,4,flanT5Small,bm25,pl,8,,,0.05333333102222233,0.053333331022222326,0.053333331022222326,0.9347860495695601,0.876,0.8,0.851152,10
31227,4,flanT5Small,bm25,pl,8,,,0.05249999781250009,0.07499999781250007,0.04999999781250009,0.9394550582762367,0.964,0.6,0.92494,10
31228,4,flanT5Small,bm25,pl,8,,,0.02564102286324817,0.02564102286324817,0.02564102286324817,0.8699794357673701,1.0,0.0,1.0,10
31229,4,flanT5Small,bm25,pl,8,,,0.09333333136164446,0.199999996568,0.0,0.7644122061068029,0.908,1.0,0.884502,10
31230,4,flanT5Small,bm25,pl,8,,,0.08310749474378994,0.09756097262046409,0.04938271303155026,0.9415045914136243,1.0,0.4,0.866667,10
31231,4,flanT5Small,bm25,pl,8,,,0.013190032726758782,0.02247190761772531,0.0,0.9340619694494938,0.916,0.2,0.901893,10
31232,4,flanT5Small,bm25,pl,8,,,0.0779220758576489,0.0779220758576489,0.0779220758576489,0.9154122878561918,1.0,0.4,0.958763,10
