lamp_num,generator_name,ranker,method,baseline_eu_norm,n_baseline,Q1 (least diverse)_lo,Q1 (least diverse)_hi,Q1 (least diverse)_delta,Q1 (least diverse)_n,Q1 (least diverse)_sig,Q2_lo,Q2_hi,Q2_delta,Q2_n,Q2_sig,Q3_lo,Q3_hi,Q3_delta,Q3_n,Q3_sig,Q4 (most diverse)_lo,Q4 (most diverse)_hi,Q4 (most diverse)_delta,Q4 (most diverse)_n,Q4 (most diverse)_sig,bin 1/3_lo,bin 1/3_hi,bin 1/3_delta,bin 1/3_n,bin 1/3_sig,bin 2/3_lo,bin 2/3_hi,bin 2/3_delta,bin 2/3_n,bin 2/3_sig,bin 3/3_lo,bin 3/3_hi,bin 3/3_delta,bin 3/3_n,bin 3/3_sig
5,flanT5Small,bm25,pl,0.4578611318875435,826,0.4310363826760605,0.9679243122824193,-0.008362234507780508,826.0,,0.9679243122824193,0.9864658505260103,-0.008929407606248496,826.0,,0.9864658505260103,0.9955043772117868,-0.02150928438655586,826.0,,0.9955043772117868,1.0,-0.045240814869234536,826.0,**,,,,,,,,,,,,,,,
5,flanT5Small,bm25,mmr,0.4578611318875435,826,0.43103638267606054,0.9555617760362143,0.028159873137789115,670.0,,0.9555617760362143,0.9760784211367715,-0.03573140702208438,669.0,,0.9760784211367715,0.9881124520609931,0.015650195084106644,669.0,,0.9881124520609931,1.0,0.02623256408430219,670.0,,,,,,,,,,,,,,,,
5,flanT5Small,contriever,pl,0.4648746890625483,826,0.4310363826760605,0.9617191763515599,-0.0038210675145592954,826.0,,0.9617191763515599,0.983387993610344,-0.040062202462950836,826.0,*,0.983387993610344,0.9942606904284799,-0.024792189774855422,826.0,,0.9942606904284799,1.0,-0.054472217191404826,826.0,**,,,,,,,,,,,,,,,
5,flanT5Small,contriever,mmr,0.4648746890625483,826,0.43103638267606054,0.9532687600076797,0.007642622737093707,671.0,,0.9532687600076797,0.9722240197971438,-0.033301370270776565,669.0,,0.9722240197971438,0.9862383158387462,-0.030845437251179664,668.0,,0.9862383158387462,1.0,0.020183822679217645,670.0,,,,,,,,,,,,,,,,
6,flanT5Base,bm25,pl,0.4730873676410713,783,0.017518050907301175,0.7796297622046556,-0.027872186191042092,783.0,,0.7796297622046556,0.9207565125783421,-0.05630347237257405,783.0,**,0.9207565125783421,0.9705605725306916,-0.03570285791687372,783.0,*,0.9705605725306916,1.0,-0.04796953179988139,783.0,**,,,,,,,,,,,,,,,
6,flanT5Base,bm25,mmr,0.4730873676410713,783,0.020639746839556328,0.8227368180804624,0.03998995911043868,979.0,*,0.8227368180804624,0.9424910361557938,-0.013849671967389288,981.0,,0.9424910361557938,0.9786529586085673,-0.016822870029850057,978.0,,0.9786529586085673,1.0,-0.03427108465632411,977.0,,,,,,,,,,,,,,,,
6,flanT5Base,contriever,pl,0.44404708206980276,783,0.01685317364594208,0.7795125626499109,-0.0034220662337045016,783.0,,0.7795125626499109,0.9135782996964639,-0.05918281989783014,783.0,**,0.9135782996964639,0.9676200984021884,-0.0338584158052711,783.0,,0.9676200984021884,1.0,0.0006190871326181013,783.0,,,,,,,,,,,,,,,,
6,flanT5Base,contriever,mmr,0.44404708206980276,783,0.01685317364594208,0.8493410783580344,0.023035418343694214,979.0,,0.8493410783580344,0.9415276236390071,-0.04061004792456463,979.0,*,0.9415276236390071,0.9792835749091724,-0.023139171427614347,978.0,,0.9792835749091724,1.0,0.012339671844181055,979.0,,,,,,,,,,,,,,,,
6,flanT5Small,bm25,pl,0.44198415350942005,760,0.017518050907301175,0.8321687226745613,-0.03520289223902934,760.0,,0.8321687226745613,0.9463168811079632,-0.04678991956501127,760.0,*,0.9463168811079632,0.9841018285764874,-0.02433582219332736,760.0,,0.9841018285764874,1.0,-0.03040982112709456,760.0,,,,,,,,,,,,,,,,
6,flanT5Small,bm25,mmr,0.44198415350942005,760,0.02097673343600021,0.8480856881044193,-0.002492258800989633,621.0,,0.8480856881044193,0.9479231975209503,0.008949980192539009,619.0,,0.9479231975209503,0.9803710642664913,-0.01733309110197523,620.0,,0.9803710642664913,1.0,-0.027178874393859465,620.0,,,,,,,,,,,,,,,,
6,flanT5Small,contriever,pl,0.4236239482375545,760,0.017190359675977863,0.8339020728677616,-0.022970206129693582,760.0,,0.8339020728677616,0.9388453393632222,-0.07357279785259357,760.0,**,0.9388453393632222,0.9799563689899548,-0.030055171097246203,760.0,,0.9799563689899548,1.0,0.03159167688528103,760.0,,,,,,,,,,,,,,,,
6,flanT5Small,contriever,mmr,0.4236239482375545,760,0.02013693101975558,0.878279280200549,0.007230452394391296,620.0,,0.878279280200549,0.9528270409442006,-0.027048675849888792,620.0,,0.9528270409442006,0.9846997655259705,-0.017632695676332466,622.0,,0.9846997655259705,1.0,0.07467863050313805,618.0,**,,,,,,,,,,,,,,,
7,flanT5Base,bm25,pl,0.6749667309671006,211,0.0,0.9729428122743542,-0.03245805075490027,211.0,,0.9729428122743542,0.9836660304834404,-0.0018028914007567343,211.0,,0.9836660304834404,0.9917527670696039,0.019003689529420886,211.0,,0.9917527670696039,1.0,-0.03542851646880507,211.0,,,,,,,,,,,,,,,,
7,flanT5Base,bm25,mmr,0.6749667309671006,211,0.0,0.9725406462413567,-0.0683927733869486,265.0,*,0.9725406462413567,0.9860861477331779,0.0825371256711721,265.0,**,0.9860861477331779,0.9952814586924406,0.003360492528563297,265.0,,0.9952814586924406,1.0,-0.08312665863203283,260.0,**,,,,,,,,,,,,,,,
7,flanT5Base,contriever,pl,0.6454125289455971,211,0.0,0.9733894586293201,-0.0013810120045127938,211.0,,0.9733894586293201,0.9847229059172882,-0.00739304050921763,211.0,,0.9847229059172882,0.992899870576847,0.020057992739635044,211.0,,0.992899870576847,1.0,0.005573868355135403,211.0,,,,,,,,,,,,,,,,
7,flanT5Base,contriever,mmr,0.6454125289455971,211,0.0,0.9753843325786765,-0.0006489298101967078,265.0,,0.9753843325786765,0.9898654881207993,-0.04347750161070274,263.0,,0.9898654881207993,0.9999999999999998,-0.006655184943422321,263.0,,0.9999999999999998,1.0,0.03464420513037669,264.0,,,,,,,,,,,,,,,,
7,flanT5Small,bm25,pl,0.5353459166422336,365,0.0,0.9770695424457694,0.029546055722128095,365.0,,0.9770695424457694,0.9869376088354026,-0.009247145496632414,365.0,,0.9869376088354026,0.9941156444452881,-0.030574273025334997,365.0,,0.9941156444452881,1.0,0.011886751151811925,365.0,,,,,,,,,,,,,,,,
7,flanT5Small,bm25,mmr,0.5353459166422336,365,0.0,0.9743348396307584,0.03296634639195817,327.0,,0.9743348396307584,0.9861479022237221,-0.03428673812084704,322.0,,0.9861479022237221,0.9973812674264542,-0.028920939714768168,326.0,,0.9973812674264542,1.0,-0.04207426392414604,320.0,,,,,,,,,,,,,,,,
7,flanT5Small,contriever,pl,0.5301350060660748,365,0.0,0.978560266327448,-0.00012762560881418583,365.0,,0.978560266327448,0.9886776048946944,-0.025151379986321665,365.0,,0.9886776048946944,0.9953946214794425,-0.004377429035467673,365.0,,0.9953946214794425,1.0,0.020851982115770218,365.0,,,,,,,,,,,,,,,,
7,flanT5Small,contriever,mmr,0.5301350060660748,365,0.0,0.9800719238313579,-0.016721811059289604,324.0,,0.9800719238313579,0.9918936394537269,-0.054908603683602175,324.0,*,0.9918936394537269,0.9999999999999998,0.003010303632685285,323.0,,0.9999999999999998,1.0,0.0019082170026021306,324.0,,,,,,,,,,,,,,,,
