lamp_num,granularity,cutoff,approach,baseline_eu_norm,n_baseline,generator_name,ranker,cutoff_ild_norm,selected_setting,self_membership_frac,n,delta_eu_norm,p_value,sig
4,gen_x_ranker,bottom25,approach_a,0.2491127653165685,833,flanT5Small,bm25,0.9691349920955487,mmr_l0.7,0.53,100,-0.06935796867778299,0.004348250073959081,**
4,gen_x_ranker,bottom25,approach_b,0.2491127653165685,833,flanT5Small,bm25,0.9691349920955487,,,2369,-0.008861083286086174,0.3912879740666183,
4,gen_x_ranker,bottom50,approach_a,0.2491127653165685,833,flanT5Small,bm25,0.9822207576517431,mmr_l0.7,0.74,100,-0.06935796867778299,0.004348250073959081,**
4,gen_x_ranker,bottom50,approach_b,0.2491127653165685,833,flanT5Small,bm25,0.9822207576517431,,,4732,-0.011934308277979117,0.21787906544974436,
4,gen_x_ranker,bottom25,approach_a,0.30299651573546266,833,flanT5Small,contriever,0.9736160526136943,mmr_l0.7,0.64,100,-0.023978339660274794,0.4047229846750593,
4,gen_x_ranker,bottom25,approach_b,0.30299651573546266,833,flanT5Small,contriever,0.9736160526136943,,,2366,0.0015219769845727926,0.8882547157369131,
4,gen_x_ranker,bottom50,approach_a,0.30299651573546266,833,flanT5Small,contriever,0.9863178158628026,mmr_l0.7,0.78,100,-0.023978339660274794,0.4047229846750593,
4,gen_x_ranker,bottom50,approach_b,0.30299651573546266,833,flanT5Small,contriever,0.9863178158628026,,,4732,-0.020219184519541245,0.04761175229192062,*
4,generator_pooled,bottom25,approach_a,0.3314213222146553,1650,flanT5Base,,0.9593471577749102,pl_a8,0.4121212121212121,1650,0.0004315815248713273,0.9685177344329523,
4,generator_pooled,bottom25,approach_b,0.3314213222146553,1650,flanT5Base,,0.9593471577749102,,,4128,0.006714956433789998,0.458438669759404,
4,generator_pooled,bottom50,approach_a,0.3314213222146553,1650,flanT5Base,,0.9735863586953952,pl_a8,0.6630303030303031,1650,0.0004315815248713273,0.9685177344329523,
4,generator_pooled,bottom50,approach_b,0.3314213222146553,1650,flanT5Base,,0.9735863586953952,,,8250,-0.006576642496021412,0.43525583685414165,
4,generator_pooled,bottom25,approach_a,0.2760546405260156,1666,flanT5Small,,0.9709720818167618,mmr_l0.7,0.575,200,-0.04666815416902889,0.014541624507721656,*
4,generator_pooled,bottom25,approach_b,0.2760546405260156,1666,flanT5Small,,0.9709720818167618,,,4735,-0.005161940583796654,0.4927845088979474,
4,generator_pooled,bottom50,approach_a,0.2760546405260156,1666,flanT5Small,,0.9842506161579012,mmr_l0.7,0.74,200,-0.04666815416902889,0.014541624507721656,*
4,generator_pooled,bottom50,approach_b,0.2760546405260156,1666,flanT5Small,,0.9842506161579012,,,9463,-0.016632526608157505,0.018569954804889446,*
4,ranker_pooled,bottom25,approach_a,0.2761390499537563,1658,,bm25,0.9624674577665657,mmr_l0.7,0.4508108108108108,925,0.016995176063672013,0.16506723136469018,
4,ranker_pooled,bottom25,approach_b,0.2761390499537563,1658,,bm25,0.9624674577665657,,,4429,0.011365575851767118,0.16309227757745842,
4,ranker_pooled,bottom50,approach_a,0.2761390499537563,1658,,bm25,0.9769044680283914,mmr_l0.7,0.705945945945946,925,0.016995176063672013,0.16506723136469018,
4,ranker_pooled,bottom50,approach_b,0.2761390499537563,1658,,bm25,0.9769044680283914,,,8857,-0.0012998561940322229,0.863747443804874,
4,ranker_pooled,bottom25,approach_a,0.3310697635387184,1658,,contriever,0.9673553930922979,mmr_l0.7,0.44216216216216214,925,0.02045612135621372,0.11557342788177237,
4,ranker_pooled,bottom25,approach_b,0.3310697635387184,1658,,contriever,0.9673553930922979,,,4429,0.015535418455782546,0.06868385462203497,
4,ranker_pooled,bottom50,approach_a,0.3310697635387184,1658,,contriever,0.9820899520659047,mmr_l0.7,0.72,925,0.02045612135621372,0.11557342788177237,
4,ranker_pooled,bottom50,approach_b,0.3310697635387184,1658,,contriever,0.9820899520659047,,,8857,-0.011553885997261315,0.14797800556134122,
5,gen_x_ranker,bottom25,approach_a,0.5257629904517702,734,flanT5Base,bm25,0.94106674813685,pl_a8,0.5095367847411444,734,0.005562794209521549,0.7634136189950351,
5,gen_x_ranker,bottom25,approach_b,0.5257629904517702,734,flanT5Base,bm25,0.94106674813685,,,1835,-0.022326531649252912,0.147690408008806,
5,gen_x_ranker,bottom50,approach_a,0.5257629904517702,734,flanT5Base,bm25,0.9642549788798881,pl_a8,0.7561307901907357,734,0.005562794209521549,0.7634136189950351,
5,gen_x_ranker,bottom50,approach_b,0.5257629904517702,734,flanT5Base,bm25,0.9642549788798881,,,3674,-0.009794377801136789,0.49834617290159794,
