lamp_num,generator_name,ranker,setting,mean,count
3,flanT5Base,contriever,mmr_l0.55,0.9318783068783069,378
3,flanT5Base,contriever,mmr_l0.7,0.9323192239858907,378
3,flanT5Base,contriever,mmr_l0.85,0.9323192239858907,378
3,flanT5Base,contriever,pl_a1,0.9224426807760141,378
3,flanT5Base,contriever,pl_a2,0.9244268077601411,378
3,flanT5Base,contriever,pl_a4,0.9291666666666667,378
3,flanT5Base,contriever,pl_a8,0.9289241622574955,378
3,flanT5Small,bm25,det,0.9080921757770632,311
3,flanT5Small,bm25,mmr_l0.15,0.8866666666666667,100
3,flanT5Small,bm25,mmr_l0.3,0.8833333333333333,100
3,flanT5Small,bm25,mmr_l0.45,0.889871382636656,311
3,flanT5Small,bm25,mmr_l0.55,0.8987138263665595,311
3,flanT5Small,bm25,mmr_l0.7,0.8933333333333333,100
3,flanT5Small,bm25,mmr_l0.85,0.9059485530546624,311
3,flanT5Small,bm25,pl_a1,0.8786977491961414,311
3,flanT5Small,bm25,pl_a2,0.8854233654876742,311
3,flanT5Small,bm25,pl_a4,0.9002947481243302,311
3,flanT5Small,bm25,pl_a8,0.9095123258306539,311
3,flanT5Small,contriever,det,0.8968381564844587,311
3,flanT5Small,contriever,mmr_l0.15,0.8741666666666668,100
3,flanT5Small,contriever,mmr_l0.3,0.8741666666666668,100
3,flanT5Small,contriever,mmr_l0.45,0.8917470525187566,311
3,flanT5Small,contriever,mmr_l0.55,0.9003215434083601,311
3,flanT5Small,contriever,mmr_l0.7,0.8908333333333333,100
3,flanT5Small,contriever,mmr_l0.85,0.8973740621650589,311
3,flanT5Small,contriever,pl_a1,0.8856377277599142,311
3,flanT5Small,contriever,pl_a2,0.8926045016077171,311
3,flanT5Small,contriever,pl_a4,0.9007234726688103,311
3,flanT5Small,contriever,pl_a8,0.8979367631296892,311
4,flanT5Base,bm25,det,0.29079477818297667,827
4,flanT5Base,bm25,mmr_l0.15,0.2906507429541937,827
4,flanT5Base,bm25,mmr_l0.3,0.29439693740161954,827
4,flanT5Base,bm25,mmr_l0.45,0.2954397824118011,827
4,flanT5Base,bm25,mmr_l0.55,0.2934032546723345,827
4,flanT5Base,bm25,mmr_l0.7,0.2953923379534333,827
4,flanT5Base,bm25,mmr_l0.85,0.2923224825214461,827
4,flanT5Base,bm25,pl_a1,0.23986786906992832,827
4,flanT5Base,bm25,pl_a2,0.24806214742535412,827
4,flanT5Base,bm25,pl_a4,0.28862362174074846,827
4,flanT5Base,bm25,pl_a8,0.28925535703975547,827
4,flanT5Base,contriever,det,0.33958725019723374,827
4,flanT5Base,contriever,mmr_l0.15,0.3146412873106029,827
4,flanT5Base,contriever,mmr_l0.3,0.3395910672891936,827
4,flanT5Base,contriever,mmr_l0.45,0.329342329597838,827
4,flanT5Base,contriever,mmr_l0.55,0.33598999939123947,827
4,flanT5Base,contriever,mmr_l0.7,0.3391117937022638,827
4,flanT5Base,contriever,mmr_l0.85,0.3362475001505445,827
4,flanT5Base,contriever,pl_a1,0.23494866284090377,827
4,flanT5Base,contriever,pl_a2,0.25247111971411856,827
4,flanT5Base,contriever,pl_a4,0.3400930260489442,827
4,flanT5Base,contriever,pl_a8,0.3410579862752723,827
4,flanT5Small,bm25,det,0.29689018987946153,833
4,flanT5Small,bm25,mmr_l0.15,0.1634459655782317,100
